CLOSEST_DEF, SHOT_DIST
7.5,23.8
6.4,27.5
6,23.7
6.5,27.7
1.8,27.3
20.1,23.3
13.6,23.1
6,24.4
4,27.4
4.3,4.2
10.1,23.1
6.3,23.8
11.4,24.9
8.3,21.6
1.2,0.9
5.2,25.5
4.3,11.4
3.3,5.5
5.1,25.2
2.8,12.7
3.2,6
6.3,25.5
3.9,5.5
6.7,3.8
7.7,24.3
11,24.5
3.2,16.8
1.1,18.5
5.2,4.9
28.7,2.8
2.8,23.7
3.9,14.1
3.5,4.6
3.4,0.8
6.7,24.8
4.7,24.7
2.7,24.2
17.7,22.2
5.7,25.9
3.9,6.2
4.3,4.2
5.7,25.5
9.8,2.3
3.3,18.9
2,24.6
2.8,26.2
6.7,23.5
3.3,16.8
5.5,25
3.7,20.4
2.7,4.5
3.2,9.2
2.4,5.5
3.4,24.7
4.4,23.1
4.7,26.5
3.1,2.9
1.7,13.6
3.5,4.5
3.8,24
1.9,7
4,19
5.2,10.7
5,18.9
20.2,23.5
5.1,18.6
9.1,25.7
1.8,3
3.7,9.5
3.4,5.8
6.5,28.6
3,6.2
6.4,28.3
2.7,25.5
6.1,25.8
4.8,25.8
2.6,4.9
8.4,27.5
2.5,4
1.6,3.3
3.5,25
6.6,27
5.2,26.6
2.9,1.7
2.8,0.1
1.9,25
5.1,18.1
13.3,24.8
3,22.9
3.4,12.3
4.1,7.4
2.7,4.6
3.6,26.8
12.6,24.3
6.6,24.4
6.4,27.7
5.2,27
3.9,27.8
10.4,20.8
0.2,8.3
3.2,27.3
3.6,5.2
1.2,5.7
11.1,25.7
3.2,0.4
7.6,12.2
2.2,27.1
3.9,6.5
3.6,1.4
8.8,15.4
6,22.7
3.6,25.4
5.4,23.1
7.1,24.2
4.5,14.5
4.1,15.3
4.3,23.3
3.8,7.3
2.5,7.8
5.7,25.3
5.2,27.1
3.3,6.8
2.7,13.3
3.8,25
5.1,24.3
3.8,25.3
6.3,25.5
3.3,7.3
5.4,19.6
3.8,25.4
3.7,2.4
2,11.2
1,9
2.2,3.4
3.2,1.3
3.5,15.3
3.9,25.6
5.5,17.7
7,19
3.4,3.5
2.8,4.5
3.4,2.6
3.2,24.6
5.8,25.9
3.7,20.8
3.2,26.7
2.6,5
6.8,5.9
4.9,19.4
5.2,25.7
5.3,27.9
4.3,27.6
10.8,16.1
2.6,14.6
5.4,1.2
5.3,9.5
2.8,24.1
3.6,2.8
2.8,8.4
4.9,26.1
3.6,3.2
2,4.8
4.9,11.1
5.8,12.1
2.9,5.4
9.5,26.1
12.7,25
4.7,10.5
4.6,22.1
5.3,24.8
8.1,23.5
1.1,2.6
1.9,1.7
4,15.8
4.9,21.8
4.3,27.2
3.5,24.3
6.4,24.3
2.2,15.3
1.7,2.4
7,24.8
9.4,22.4
1.9,6.7
6.5,22.3
3.1,25.5
2.3,18.8
2.6,2.2
1.3,2.3
5.4,25.8
10.8,25
3,8.6
4.5,23.8
3.3,20.4
1.9,11.3
2.1,21.9
3.7,1.7
6.7,3.6
3.5,24.2
5.4,24.1
3.3,26.6
1.9,18.2
0.6,3.2
4.2,19.6
6.5,27.6
6.4,27.3
11.1,3
6.1,27.6
2.6,6
4.6,23.8
2.2,4.5
0.3,3.1
1.5,7
3.6,3
6.6,5.1
